Index,ID,Attempt Number,Time taken,10,0.63,1.25,1.25,3.75,3.13
148,2291566,3,2 mins 46 secs,9.06,0.63,1.25,0.31,3.75,3.13
149,2292865,2,2 mins 53 secs,5.31,0.63,1.25,0.31,0.63,2.5
150,2343365,3,2 mins 53 secs,10,0.63,1.25,1.25,3.75,3.13
151,2393365,2,4 mins 44 secs,10,0.63,1.25,1.25,3.75,3.13
152,3306685,3,3 mins 30 secs,8.13,0.63,1.25,1.25,1.88,3.13
153,2218682,1,6 mins 46 secs,2.19,0.63,0,0.31,0,1.25
154,1014682,1,28 mins 10 secs,2.19,0.63,0,0.31,0.63,0.63
155,1008679,1,6 mins 20 secs,0.63,0,0,0,0.63,0
156,2301676,1,3 mins 28 secs,2.5,0.63,1.25,0,0.63,0
157,1401679,4,1 min 14 secs,10,0.63,1.25,1.25,3.75,3.13
158,2321465,3,5 mins 26 secs,9.38,0.63,1.25,1.25,3.13,3.13
159,2292865,3,2 mins 33 secs,8.75,0.63,1.25,1.25,2.5,3.13
160,2218682,2,13 mins 42 secs,8.13,0.63,1.25,1.25,2.5,2.5
161,2313683,1,2 mins 31 secs,1.88,0,1.25,0,0.63,0
162,2021672,1,7 mins 20 secs,3.13,0.63,0,0,1.25,1.25
163,2804676,2,3 mins 23 secs,9.38,0.63,1.25,1.25,3.13,3.13
164,2306679,1,8 mins 36 secs,4.38,0.63,0,0,1.88,1.88
165,2304679,4,4 mins 1 sec,10,0.63,1.25,1.25,3.75,3.13
166,2302673,2,4 mins,10,0.63,1.25,1.25,3.75,3.13
167,2332665,2,2 mins 16 secs,4.38,0.63,1.25,0,0.63,1.88
168,1406679,3,3 mins 17 secs,5.63,0.63,0,1.25,1.88,1.88
169,2341465,2,2 mins 9 secs,5.63,0.63,0,1.25,0.63,3.13
170,2313065,4,1 min 52 secs,9.38,0.63,1.25,1.25,3.75,2.5
171,2382967,5,2 mins 45 secs,8.13,0.63,1.25,1.25,1.88,3.13
172,2381865,2,7 mins 11 secs,10,0.63,1.25,1.25,3.75,3.13
173,3202673,1,15 mins 36 secs,7.81,0.63,0,0.31,3.75,3.13
174,2381365,2,16 mins 51 secs,0.63,0,0,0.63,0,0
